,station_train_code,train_no,class,on,off
7965,K7384(赤峰-山海关),16000K73840E,K,赤峰,山海关
7966,K7385(大连-通化),13000K73850E,K,大连,通化
7967,K7386(通化-大连),19000K73860D,K,通化,大连
7968,K7387(白河-吉林),19000K739008,K,白河,吉林
7969,K7388(吉林-白河),18000K73880D,K,吉林,白河
7970,K7389(吉林-白河),18000K73880D,K,吉林,白河
7971,K7390(白河-吉林),19000K739008,K,白河,吉林
7972,K7391(白山市-吉林),19000K73940J,K,白山市,吉林
7973,K7392(吉林-通化),18000K739201,K,吉林,通化
7974,K7393(吉林-通化),18000K739201,K,吉林,通化
7975,K7394(白山市-吉林),19000K73940J,K,白山市,吉林
7976,K7397(沈阳-白河),12000K73970F,K,沈阳,白河
7977,K7398(白河-沈阳),19000K73980H,K,白河,沈阳
7978,K7411(梅河口-吉林),19000K741101,K,梅河口,吉林
7979,K7412(吉林-梅河口),18000K741200,K,吉林,梅河口
7980,K7416(九台-长春),18000K741601,K,九台,长春
7981,K7417(朝阳川-图们),18000K741710,K,朝阳川,图们
7982,K7418(图们-朝阳川),18000K741810,K,图们,朝阳川
7983,K7421(吉林-舒兰),18000K742100,K,吉林,舒兰
7984,K7422(舒兰-吉林),18000K742200,K,舒兰,吉林
7985,K7425(沈阳-吉林),12000K742508,K,沈阳,吉林
7986,K7426(吉林-沈阳),18000K742606,K,吉林,沈阳
7987,K7430(白山市-北京),19000K74300F,K,白山市,北京
7988,K7455(通辽-沈阳),16000K745802,K,通辽,沈阳
7989,K7456(沈阳-通辽),12000K745601,K,沈阳,通辽
7990,K7457(沈阳-通辽),12000K745601,K,沈阳,通辽
7991,K7458(通辽-沈阳),16000K745802,K,通辽,沈阳
7992,K7459(大连-通辽),13000K745903,K,大连,通辽
7993,K7460(通辽-大连),16000K746105,K,通辽,大连
7994,K7461(通辽-大连),16000K746105,K,通辽,大连
7995,K7462(大连-通辽),13000K745903,K,大连,通辽
7996,K7501(锦州-阜新南),15000K750105,K,锦州,阜新南
7997,K7502(阜新南-锦州),15000K750208,K,阜新南,锦州
7998,K7505(沈阳-本溪),12000K750502,K,沈阳,本溪
7999,K7511(大连-松江河),13000K751100,K,大连,松江河
8000,K7512(松江河-大连),19000K751200,K,松江河,大连
8001,K7517(大连-凌源),13000K75170I,K,大连,凌源
8002,K7518(凌源-大连),15000K751805,K,凌源,大连
8003,K7519(凌源-大连),15000K751805,K,凌源,大连
8004,K7520(大连-凌源),13000K75170I,K,大连,凌源
8005,K7521(四平-通化),11000K752101,K,四平,通化
8006,K7522(通化-四平),19000K752202,K,通化,四平
8007,K7523(通化-四平),19000K752202,K,通化,四平
8008,K7525(通化-白山市),19000K752500,K,通化,白山市
8009,K7527(大连-霍林郭勒),13000K75270B,K,大连,霍林郭勒
8010,K7528(霍林郭勒-大连),16000K75280A,K,霍林郭勒,大连
8011,K7530(大连-霍林郭勒),13000K75270B,K,大连,霍林郭勒
8012,K7535(通辽-霍林郭勒),16000K753502,K,通辽,霍林郭勒
8013,K7536(霍林郭勒-通辽),16000K753602,K,霍林郭勒,通辽
8014,K7537(通辽-霍林郭勒),16000K753701,K,通辽,霍林郭勒
8015,K7538(霍林郭勒-通辽),16000K753801,K,霍林郭勒,通辽
8016,K7553(沈阳-抚顺北),12000K755300,K,沈阳,抚顺北
8017,K7554(抚顺北-沈阳),12000K755400,K,抚顺北,沈阳
8018,K7555(沈阳-抚顺北),12000K755500,K,沈阳,抚顺北
8019,K7556(抚顺北-沈阳北),12000K755600,K,抚顺北,沈阳北
8020,K7557(鞍山-沈阳),12000K755700,K,鞍山,沈阳
8021,K7561(赤峰-沈阳),16000K75640A,K,赤峰,沈阳
8022,K7562(沈阳-赤峰),12000K75620G,K,沈阳,赤峰
8023,K7563(沈阳-赤峰),12000K75620G,K,沈阳,赤峰
8024,K7564(赤峰-沈阳),16000K75640A,K,赤峰,沈阳
8025,K7565(沈阳-阿尔山),12000K75650K,K,沈阳,阿尔山
8026,K7566(阿尔山-沈阳),11000K75660L,K,阿尔山,沈阳
8027,K7571(长春-辽源),11000K757102,K,长春,辽源
8028,K7572(梅河口-长春),19000K757202,K,梅河口,长春
8029,K7573(长春-辽源),11000K757302,K,长春,辽源
8030,K7574(辽源-长春),19000K757403,K,辽源,长春
8031,K7575(长春-辽源),11000K757501,K,长春,辽源
8032,K7576(辽源-长春),19000K757601,K,辽源,长春
8033,K7577(长春-辽源),11000K757701,K,长春,辽源
8034,K7578(辽源-长春),19000K757801,K,辽源,长春
8035,K7579(长春-梅河口),11000K757901,K,长春,梅河口
8036,K7580(辽源-长春),19000K758001,K,辽源,长春
8037,K7589(白城-乌兰浩特),11000K758900,K,白城,乌兰浩特
8038,K7590(乌兰浩特-白城),11000K759000,K,乌兰浩特,白城
8039,K7591(山海关-丹东),15000K75910I,K,山海关,丹东
8040,K7592(丹东-锦州),12000K75920M,K,丹东,锦州
8041,K7593(乌兰浩特-阿尔山),11000K759302,K,乌兰浩特,阿尔山
8042,K7594(阿尔山-乌兰浩特),11000K759410,K,阿尔山,乌兰浩特
8043,K7595(白城-阿尔山),11000K759501,K,白城,阿尔山
8044,K7596(阿尔山-白城),11000K759601,K,阿尔山,白城
8045,K7597(白城-乌兰浩特),11000K75970E,K,白城,乌兰浩特
8046,K7598(乌兰浩特-白城),11000K75980D,K,乌兰浩特,白城
8047,K7651(唐山南-古冶),25000K765101,K,唐山南,古冶
8048,K7652(古冶-唐山南),25000K765201,K,古冶,唐山南
8049,K7653(唐山南-古冶),25000K765301,K,唐山南,古冶
8050,K7654(古冶-唐山南),25000K765401,K,古冶,唐山南
8051,K7655(唐山南-古冶),25000K765501,K,唐山南,古冶
8052,K7656(古冶-唐山南),25000K765601,K,古冶,唐山南
8053,K7657(唐山南-古冶),25000K765701,K,唐山南,古冶
8054,K7658(古冶-唐山南),25000K765801,K,古冶,唐山南
8055,K7659(唐山南-古冶),25000K765901,K,唐山南,古冶
8056,K7660(古冶-唐山南),25000K766001,K,古冶,唐山南
8057,K7701(北京-怀柔),24000K770120,K,北京,怀柔
8058,K7702(怀柔-北京),24000K770210,K,怀柔,北京
8059,K7705(北京-沙河市),24000K770502,K,北京,沙河市
8060,K7706(沙河市-北京),26000K770603,K,沙河市,北京
8061,K7707(北京-石家庄),24000K770706,K,北京,石家庄
8062,K7708(石家庄-北京),26000K770804,K,石家庄,北京
8063,K7709(天津-石家庄北),25000K770906,K,天津,石家庄北
8064,K7710(石家庄北-天津),26000K771006,K,石家庄北,天津
8065,K7711(北京-承德),24000K77110B,K,北京,承德
8066,K7712(承德-北京),24000K77120B,K,承德,北京
8067,K7713(秦皇岛-石家庄),25000K77160J,K,秦皇岛,石家庄
8068,K7714(石家庄-秦皇岛),26000K77140M,K,石家庄,秦皇岛
8069,K7715(石家庄-秦皇岛),26000K77140M,K,石家庄,秦皇岛
8070,K7716(秦皇岛-石家庄),25000K77160J,K,秦皇岛,石家庄
8071,K7717(秦皇岛-衡水),25000K77200A,K,秦皇岛,衡水
8072,K7718(衡水-秦皇岛),26000K77180E,K,衡水,秦皇岛
8073,K7719(衡水-秦皇岛),26000K77180E,K,衡水,秦皇岛
8074,K7720(秦皇岛-衡水),25000K77200A,K,秦皇岛,衡水
8075,K7721(保定-磁县),26000K772102,K,保定,磁县
8076,K7722(邯郸-保定),26000K772207,K,邯郸,保定
8077,K7723(石家庄-邯郸),26000K772310,K,石家庄,邯郸
8078,K7724(磁县-石家庄),26000K772410,K,磁县,石家庄
8079,K7725(秦皇岛-邯郸),25000K772825,K,秦皇岛,邯郸
8080,K7726(邯郸-秦皇岛),26000K772633,K,邯郸,秦皇岛
8081,K7727(邯郸-秦皇岛),26000K772633,K,邯郸,秦皇岛
8082,K7728(秦皇岛-邯郸),25000K772825,K,秦皇岛,邯郸
8083,K7729(北京-德州),24000K772900,K,北京,德州
8084,K7730(德州-北京),25000K773000,K,德州,北京
8085,K7745(天津-邯郸),25000K774809,K,天津,邯郸
8086,K7746(邯郸-天津),26000K77460B,K,邯郸,天津
8087,K7747(邯郸-天津),26000K77460B,K,邯郸,天津
8088,K7748(天津-邯郸),25000K774809,K,天津,邯郸
8089,K7751(承德-石家庄),24000K775409,K,承德,石家庄
8090,K7752(石家庄-承德),26000K775207,K,石家庄,承德
8091,K7753(石家庄-承德),26000K775207,K,石家庄,承德
8092,K7754(承德-石家庄),24000K775409,K,承德,石家庄
8093,K7755(承德-石家庄),24000K775809,K,承德,石家庄
8094,K7756(石家庄-承德),26000K77560A,K,石家庄,承德
8095,K7757(石家庄-承德),26000K77560A,K,石家庄,承德
8096,K7758(承德-石家庄),24000K775809,K,承德,石家庄
8097,K7759(石家庄-邯郸),26000K775902,K,石家庄,邯郸
8098,K7760(邯郸-石家庄),26000K776005,K,邯郸,石家庄
8099,K7761(承德-邯郸),24000K776407,K,承德,邯郸
8100,K7762(邯郸-承德),26000K77620N,K,邯郸,承德
8101,K7763(邯郸-承德),26000K77620N,K,邯郸,承德
8102,K7764(承德-邯郸),24000K776407,K,承德,邯郸
8103,K7765(承德-石家庄北),24000K776807,K,承德,石家庄北
8104,K7766(石家庄北-承德),26000K77660D,K,石家庄北,承德
8105,K7767(石家庄北-承德),26000K77660D,K,石家庄北,承德
8106,K7768(承德-石家庄北),24000K776807,K,承德,石家庄北
8107,K7771(北京-清河城),24000K77710A,K,北京,清河城
8108,K7772(清河城-北京),26000K77720A,K,清河城,北京
8109,K7773(北京-衡水),24000K777302,K,北京,衡水
8110,K7774(衡水-北京),26000K777405,K,衡水,北京
8111,K7782(燕郊-北京东),25000K77820B,K,燕郊,北京东
8112,K7783(北京东-蓟州),24000K77830E,K,北京东,蓟州
8113,K7784(蓟州-北京东),25000K77840D,K,蓟州,北京东
8114,K7787(北京东-蓟州),24000K778703,K,北京东,蓟州
8115,K7788(蓟州-北京东),25000K778809,K,蓟州,北京东
8116,K7801(大同-太原),28000K78010F,K,大同,太原
8117,K7802(太原-大同),27000K78020F,K,太原,大同
8118,K7803(大同-太原),28000K780307,K,大同,太原
8119,K7804(太原-大同),27000K780406,K,太原,大同
8120,K7807(大同-运城),28000K78070K,K,大同,运城
8121,K7808(运城-大同),27000K78080J,K,运城,大同
8122,K7811(轩岗-原平),27000K781101,K,轩岗,原平
8123,K7812(原平-轩岗),27000K781200,K,原平,轩岗
8124,K7813(轩岗-原平),27000K781302,K,轩岗,原平
8125,K7814(原平-轩岗),27000K781401,K,原平,轩岗
8126,K7831(太原-柳林南),27000K783114,K,太原,柳林南
8127,K7832(柳林南-太原),27000K783215,K,柳林南,太原
8128,K7833(太原-吕梁),27000K783305,K,太原,吕梁
8129,K7834(吕梁-太原),27000K783402,K,吕梁,太原
8130,K7901(包头-乌海西),33000K790106,K,包头,乌海西
8131,K7902(乌海西-包头),33000K790207,K,乌海西,包头
8132,K7903(包头东-白云鄂博),33000K790308,K,包头东,白云鄂博
8133,K7904(白云鄂博-包头东),33000K790407,K,白云鄂博,包头东
8134,K7905(呼和浩特-乌海西),33000K79050D,K,呼和浩特,乌海西
8135,K7906(乌海西-呼和浩特),33000K79060E,K,乌海西,呼和浩特
8136,K7909(呼和浩特-临河),33000K790906,K,呼和浩特,临河
8137,K7910(临河-呼和浩特),33000K791005,K,临河,呼和浩特
8138,K7911(呼和浩特-额济纳),33000K791104,K,呼和浩特,额济纳
8139,K7912(额济纳-呼和浩特),35000K791203,K,额济纳,呼和浩特
8140,K7915(锡林浩特-包头),34000K79180E,K,锡林浩特,包头
8141,K7916(包头-锡林浩特),33000K79160H,K,包头,锡林浩特
8142,K7917(包头-锡林浩特),33000K79160H,K,包头,锡林浩特
8143,K7918(锡林浩特-包头),34000K79180E,K,锡林浩特,包头
8144,K7919(锡林浩特-呼和浩特),34000K792203,K,锡林浩特,呼和浩特
8145,K7920(呼和浩特-锡林浩特),33000K792005,K,呼和浩特,锡林浩特
